Permission,Rating
Analytics.Read,Low
AdministrativeUnit.Read.All,Medium
AdministrativeUnit.ReadWrite.All,High
AppCatalog.ReadWrite.All,Medium
Application.Read.All,Medium
Application.ReadWrite.All,High
Application.ReadWrite.OwnedBy,Low
Bookings.Read.All,Low
Bookings.ReadWrite.Appointments,Medium
Bookings.ReadWrite.All,Medium
Bookings.Manage,Medium
Calendars.Read,Low
Calendars.Read.Shared,Low
Calendars.ReadWrite,Medium
Calendars.Send,Medium
Calls.Initiate.All,Low
Calls.InitiateGroupCall.All,Low
Calls.JoinGroupCall.All,Low
Calls.JoinGroupCallasGuest.All,Low
Calls.AccessMedia.All,Medium
Contacts.Read,Low
Contacts.ReadWrite,Medium
Device.ReadWrite.All,High
Directory.Read.All,Medium
Directory.ReadWrite.All,High
EduAssignments.Read,Low
EduAssignments.ReadWriteBasic,Medium
EduRoster.ReadBasic,Low
Files.Read,Medium
Files.Read.All,Medium
Files.ReadWrite,High
Files.ReadWrite.All,High
Files.ReadWrite.AppFolder,Medium
Group.Read.All,Low
Group.ReadWrite.All,Medium
GroupMember.ReadWrite.All,High
Group.Create,Medium
IdentityProvider.Read.All,Low
IdentityProvider.ReadWrite.All,High
DeviceManagementServiceConfiguration.Read.All,Low
DeviceManagementServiceConfiguration.ReadWrite.All,High
DeviceManagementConfiguration.Read.All,Low
DeviceManagementConfiguration.ReadWrite.All,High
DeviceManagementApps.Read.All,Low
DeviceManagementApps.ReadWrite.All,High
DeviceManagementRBAC.Read.All,Low
DeviceManagementRBAC.ReadWrite.All,High
DeviceManagementManagedDevices.Read.All,Low
DeviceManagementManagedDevices.ReadWrite.All,High
DeviceManagementManagedDevices.PrivilegedOperations.All,High
Mail.Read,Medium
Mail.Read.Shared,Medium
Mail.ReadWrite,High
Mail.Send,High
MailboxSettings.ReadWrite,High
MailboxSettings.Read,Low
Member.Read.Hidden,Low
Notes.Create,Low
Notes.Read,Low
Notes.Read.All,Low
Notes.ReadWrite,Medium
Notes.ReadWrite.All,High
Notifications.ReadWrite.CreatedByApp,Low
OnlineMeetings.Read,Low
OnlineMeetings.ReadWrite,Medium
OnlineMeetings.Read.All,Low
Organization.Read.All,Medium
Organization.ReadWrite.All,High
OrgContact.Read.All,Low
People.Read,Low
People.Read.All,Low
Policy.Read.All,Low
Policy.ReadWrite.ConditionalAccess,High
Policy.ReadWrite.FeatureRollout,Medium
Policy.ReadWrite.TrustFramework,Medium
Presence.Read,Low
Presence.Read.All,Low
Reports.Read.All,Low
RoleManagement.Read.Directory,Low
RoleManagement.ReadWrite.Directory,High
ExternalItem.Read.All,Low
SecurityEvents.Read.All,Low
SecurityEvents.ReadWrite.All,High
Sites.Read.All,Medium
Sites.ReadWrite.All,High
Sites.Manage.All,High
Sites.FullControl.All,High
Tasks.Read,Low
Tasks.Read.Shared,Low
Tasks.ReadWrite,Medium
Tasks.ReadWrite.Shared,Medium
Agreement.Read.All,Low
Agreement.ReadWrite.All,Medium
AgreementAcceptance.Read,Low
ThreatAssessment.ReadWrite.All,Medium
ThreatAssessment.Read.All,Low
User.Read,Low
User.ReadWrite,High
User.ReadBasic.All,Low
User.Read.All,Low
User.ReadWrite.All,High
UserActivity.ReadWrite.CreatedByApp,Medium
user_impersonation,High
full_access_as_user,High
full_access_as_app,High
offline_access,Low
Directory.AccessAsUser.All,High
EAS.AccessAsUser.All,High
EWS.AccessAsUser.All,High
ActivityFeed.Read,Low
ServiceHealth.Read,Low
